iter	RMSE
0	13.45403481
1	13.40094113
2	13.34941751
3	13.30069263
4	13.24724653
5	13.19789012
6	13.15881694
7	13.11611572
8	13.07407751
9	13.03370409
10	12.99632029
11	12.96217003
12	12.92676637
13	12.89353999
14	12.85729691
15	12.82219907
16	12.79325864
17	12.76702527
18	12.73999441
19	12.71323611
20	12.68496113
21	12.65923982
22	12.63627606
23	12.61177
24	12.58917935
25	12.56767687
26	12.54705705
27	12.52540418
28	12.50619462
29	12.48628787
30	12.46846674
31	12.45391258
32	12.4375721
33	12.42235893
34	12.40570317
35	12.39018854
36	12.37503956
37	12.35987757
38	12.34724391
39	12.33542239
40	12.32352931
41	12.3106981
42	12.29911692
43	12.2884526
44	12.27838509
45	12.26846699
46	12.26009427
47	12.2515166
48	12.24282862
49	12.2325446
50	12.2228276
51	12.21282665
52	12.20352613
53	12.19434211
54	12.1869672
55	12.18028918
56	12.17128042
57	12.16605253
58	12.15918162
59	12.15197914
60	12.14383159
61	12.13581192
62	12.12924449
63	12.12142468
64	12.11549428
65	12.10960062
66	12.10423027
67	12.09984939
68	12.09506023
69	12.09040414
70	12.08556979
71	12.07748674
72	12.07150694
73	12.0666798
74	12.06144582
75	12.05658432
76	12.05231237
77	12.04779886
78	12.04272114
79	12.03877265
80	12.03419732
81	12.02842491
82	12.02592195
83	12.02055542
84	12.01752514
85	12.01293533
86	12.00908795
87	12.00432402
88	11.99836581
89	11.9940535
90	11.99016848
91	11.98578127
92	11.98137899
93	11.97669835
94	11.97414576
95	11.9691938
96	11.9662416
97	11.96311156
98	11.96001614
99	11.95656736
100	11.95162044
101	11.94805272
102	11.94493281
103	11.941155
104	11.93587406
105	11.93174532
106	11.92809366
107	11.9253649
108	11.92283975
109	11.91874163
110	11.91501433
111	11.91145597
112	11.90804804
113	11.90598612
114	11.90261283
115	11.89935926
116	11.89684783
117	11.89454162
118	11.8910155
119	11.88848437
120	11.88498528
121	11.88295261
122	11.88041882
123	11.87435708
124	11.87169581
125	11.86830894
126	11.86584446
127	11.86149768
128	11.85880672
129	11.8556684
130	11.85176578
131	11.84972159
132	11.84684731
133	11.84375736
134	11.84074872
135	11.83586423
136	11.83329578
137	11.83111709
138	11.82782716
139	11.82554053
140	11.82373024
141	11.82047655
142	11.81867062
143	11.81583609
144	11.81335202
145	11.81140168
146	11.80761911
147	11.80535151
148	11.80219309
149	11.80010601
150	11.7982091
151	11.79477296
152	11.79124668
153	11.78801566
154	11.78463457
155	11.78189216
156	11.77984421
157	11.77783376
158	11.77586013
159	11.77358338
160	11.77105403
161	11.7678802
162	11.76582875
163	11.76411092
164	11.76054951
165	11.75866695
166	11.75663575
167	11.75404642
168	11.75139794
169	11.74832439
170	11.74644206
171	11.7442475
172	11.74185688
173	11.7396575
174	11.73708562
175	11.73334112
176	11.73087842
177	11.72811541
178	11.72533566
179	11.72392373
180	11.72104999
181	11.71929139
182	11.71577939
183	11.71239896
184	11.70903538
185	11.70640192
186	11.7041009
187	11.70125269
188	11.69800957
189	11.6951546
190	11.69479328
191	11.6921248
192	11.68965402
193	11.68762582
194	11.68576186
195	11.68402887
196	11.68227873
197	11.68038205
198	11.67773607
199	11.67492631
200	11.67164932
201	11.66788984
202	11.66530675
203	11.66251134
204	11.66048516
205	11.65821435
206	11.65660913
207	11.65520424
208	11.65306995
209	11.65026248
210	11.64774791
211	11.64428201
212	11.64107755
213	11.6379871
214	11.63600741
215	11.63467526
216	11.63054396
217	11.62772232
218	11.62434013
219	11.62201538
220	11.62040859
221	11.61748811
222	11.61635289
223	11.61302201
224	11.61100301
225	11.60858532
226	11.60517345
227	11.60250671
228	11.59779904
229	11.59602713
230	11.59453763
231	11.59231834
232	11.59076933
233	11.5880711
234	11.58559407
235	11.58346974
236	11.58083123
237	11.5788609
238	11.57769206
239	11.57609148
240	11.5749698
241	11.57338977
242	11.57108128
243	11.56962412
244	11.5669791
245	11.56485815
246	11.56229969
247	11.56057446
248	11.5580187
249	11.55609839
250	11.55350556
251	11.55160755
252	11.54807193
253	11.54621864
254	11.54303944
255	11.54003694
256	11.5377752
257	11.53598148
258	11.53381296
259	11.53126857
260	11.52706298
261	11.5245624
262	11.52295705
263	11.52019447
264	11.51916182
265	11.51701238
266	11.51342841
267	11.51025198
268	11.50894704
269	11.50660279
270	11.50495064
271	11.50148512
272	11.49889361
273	11.49620778
274	11.49353481
275	11.49155525
276	11.48856046
277	11.48552581
278	11.48325055
279	11.48111008
280	11.47884006
281	11.47666442
282	11.47504287
283	11.4727198
284	11.4699237
285	11.46805792
286	11.46629272
287	11.46259073
288	11.45992351
289	11.45744577
290	11.45596913
291	11.45339768
292	11.45122642
293	11.44902536
294	11.44652376
295	11.44424642
296	11.44157794
297	11.44015105
298	11.43728632
299	11.43412884
300	11.43265127
301	11.43104498
302	11.42893833
303	11.42631
304	11.42409823
305	11.4219324
306	11.41878842
307	11.41650754
308	11.41457594
309	11.41216027
310	11.40954019
311	11.40716392
312	11.40492737
313	11.40194312
314	11.39989992
315	11.39677764
316	11.39348139
317	11.39043615
318	11.38865737
319	11.38727739
320	11.38470276
321	11.382023
322	11.3801992
323	11.37647002
324	11.37339832
325	11.37101998
326	11.36945351
327	11.36675227
328	11.36392007
329	11.36050064
330	11.35816688
331	11.35632739
332	11.35414459
333	11.35124663
334	11.34771211
335	11.34502713
336	11.34328693
337	11.34029961
338	11.33892266
339	11.33683872
340	11.33276618
341	11.3302406
342	11.32781154
343	11.32552683
344	11.32318949
345	11.32079254
346	11.3172029
347	11.31445119
348	11.31249169
349	11.31104042
350	11.3087442
351	11.30567619
352	11.30227324
353	11.30037639
354	11.29842427
355	11.29444924
356	11.29158686
357	11.28973319
358	11.2867788
359	11.28567074
360	11.28275686
361	11.2798557
362	11.27711246
363	11.27414876
364	11.2719879
365	11.26906994
366	11.26732718
367	11.26460253
368	11.26177785
369	11.25971277
370	11.25686902
371	11.25591785
372	11.25428465
373	11.25212907
374	11.25003685
375	11.24857382
376	11.24677223
377	11.24366618
378	11.24148975
379	11.23757087
380	11.23496276
381	11.23239626
382	11.23135074
383	11.22977634
384	11.22610638
385	11.22431148
386	11.22176765
387	11.21863454
388	11.21653883
389	11.21487129
390	11.21296989
391	11.21119961
392	11.20899907
393	11.20549359
394	11.20382644
395	11.20163394
396	11.19962889
397	11.19763392
398	11.19605248
399	11.19349761
400	11.19125117
401	11.18894317
402	11.1871892
403	11.18530615
404	11.18298905
405	11.1807128
406	11.17927674
407	11.17763608
408	11.17604846
409	11.17392466
410	11.17054398
411	11.16796636
412	11.16587804
413	11.16375514
414	11.16080164
415	11.15862501
416	11.15592879
417	11.15362713
418	11.15089635
419	11.14835729
420	11.14610564
421	11.14444124
422	11.14180082
423	11.1397183
424	11.13672935
425	11.13414278
426	11.13257184
427	11.12994872
428	11.12800733
429	11.12453395
430	11.12253263
431	11.12012142
432	11.11814632
433	11.11628238
434	11.11457908
435	11.11296083
436	11.11083914
437	11.10891919
438	11.10551036
439	11.10313177
440	11.10106936
441	11.09910817
442	11.09620099
443	11.09266668
444	11.09027807
445	11.08778919
446	11.08613877
447	11.08400803
448	11.08075729
449	11.07907312
450	11.07679774
451	11.07339889
452	11.07134179
453	11.06883046
454	11.06639449
455	11.06511859
456	11.06252861
457	11.05998236
458	11.05888258
459	11.05543134
460	11.05228061
461	11.05041848
462	11.04803671
463	11.04585095
464	11.04447237
465	11.0411587
466	11.03883674
467	11.03560057
468	11.03331019
469	11.02989231
470	11.0280945
471	11.02479766
472	11.02214951
473	11.0196739
474	11.01799848
475	11.01562048
476	11.01366482
477	11.01038444
478	11.00842703
479	11.00483956
480	11.00213576
481	11.00073279
482	10.99874062
483	10.99634632
484	10.99398814
485	10.99177073
486	10.98931102
487	10.98614407
488	10.98290441
489	10.97951736
490	10.97736506
491	10.97518245
492	10.97204491
493	10.96926441
494	10.96611423
495	10.96437709
496	10.96209956
497	10.96056746
498	10.95788502
499	10.95558618
500	10.95349716
501	10.95136615
502	10.9486499
503	10.94570389
504	10.9441168
505	10.94211562
506	10.94018019
507	10.93794436
508	10.93522344
509	10.93374089
510	10.93130407
511	10.92948328
512	10.92725103
513	10.92494508
514	10.92265713
515	10.92046708
516	10.9174401
517	10.91596204
518	10.91457095
519	10.91298583
520	10.91018857
521	10.90812161
522	10.90460557
523	10.90210583
524	10.90003588
525	10.89766581
526	10.89547995
527	10.89389792
528	10.89114922
529	10.88838793
530	10.88570408
531	10.88425413
532	10.88319261
533	10.88091947
534	10.87822144
535	10.87527302
536	10.87333506
537	10.86928394
538	10.86747021
539	10.86543789
540	10.86335833
541	10.86079802
542	10.85972378
543	10.85759786
544	10.85550225
545	10.85355735
546	10.8508666
547	10.84838132
548	10.84671008
