iter	Passed	Remaining
0	6	6443
1	9	4623
2	11	3876
3	14	3645
4	19	3949
5	24	3980
6	26	3704
7	28	3487
8	30	3320
9	33	3271
10	36	3237
11	38	3137
12	40	3059
13	42	2990
14	44	2941
15	46	2881
16	49	2857
17	51	2809
18	53	2765
19	55	2732
20	58	2706
21	60	2671
22	62	2646
23	64	2616
24	66	2595
25	68	2569
26	70	2556
27	73	2542
28	75	2526
29	77	2506
30	79	2489
31	81	2476
32	83	2461
33	85	2442
34	87	2426
35	93	2491
36	95	2478
37	97	2466
38	99	2461
39	101	2447
40	104	2433
41	106	2419
42	108	2412
43	110	2399
44	112	2388
45	114	2379
46	116	2367
47	118	2357
48	121	2349
49	123	2340
50	125	2333
51	127	2327
52	129	2316
53	131	2311
54	133	2302
55	136	2293
56	138	2285
57	140	2276
58	142	2270
59	144	2261
60	146	2254
61	148	2249
62	150	2241
63	152	2234
64	154	2228
65	156	2220
66	158	2213
67	160	2206
68	163	2202
69	165	2196
70	167	2192
71	169	2186
72	171	2180
73	173	2175
74	175	2170
75	178	2167
76	180	2167
77	182	2163
78	185	2157
79	187	2153
80	189	2149
81	191	2144
82	193	2139
83	195	2135
84	198	2131
85	200	2126
86	202	2124
87	204	2121
88	206	2118
89	209	2114
90	211	2111
91	213	2108
92	215	2103
93	217	2100
94	220	2099
95	222	2097
96	224	2094
97	228	2100
98	231	2107
99	233	2102
100	235	2099
101	238	2095
102	240	2090
103	242	2086
104	244	2084
105	246	2079
106	248	2077
107	251	2073
108	253	2069
109	255	2067
110	257	2062
111	259	2058
112	261	2054
113	263	2049
114	265	2045
115	267	2041
116	270	2039
117	272	2035
118	274	2031
119	276	2027
120	278	2023
121	280	2018
122	282	2015
123	284	2011
124	286	2008
125	288	2004
126	291	2000
127	294	2004
128	296	2001
129	298	1997
130	300	1994
131	303	1992
132	305	1989
133	307	1985
134	309	1982
135	311	1978
136	313	1974
137	315	1971
138	318	1969
139	320	1970
140	322	1967
141	325	1965
142	327	1961
143	329	1958
144	331	1955
145	333	1952
146	335	1949
147	338	1947
148	341	1949
149	343	1947
150	345	1944
151	348	1941
152	350	1938
153	352	1934
154	354	1932
155	356	1928
156	358	1926
157	360	1923
158	363	1920
159	365	1916
160	367	1913
161	369	1911
162	371	1907
163	373	1905
164	376	1903
165	378	1900
166	380	1897
167	382	1893
168	384	1892
169	386	1889
170	389	1886
171	391	1884
172	394	1884
173	396	1881
174	398	1878
175	400	1875
176	402	1872
177	404	1869
178	407	1867
179	409	1864
180	411	1861
181	413	1859
182	415	1856
183	418	1855
184	420	1852
185	422	1850
186	424	1847
187	426	1843
188	429	1841
189	431	1838
190	432	1831
191	434	1829
192	436	1826
193	439	1825
194	441	1822
195	443	1819
196	445	1817
197	447	1814
198	450	1811
199	452	1809
200	454	1806
201	456	1804
202	458	1801
203	460	1798
204	463	1795
205	465	1793
206	467	1790
207	469	1787
208	471	1785
209	473	1782
210	475	1779
211	478	1777
212	480	1774
213	482	1772
214	484	1769
215	487	1767
216	489	1765
217	491	1762
218	493	1760
219	495	1757
220	497	1754
221	500	1752
222	502	1749
223	504	1747
224	506	1744
225	508	1741
226	510	1739
227	512	1736
228	515	1734
229	519	1740
230	522	1738
231	524	1735
232	526	1733
233	528	1731
234	531	1728
235	533	1726
236	535	1723
237	537	1721
238	539	1718
239	541	1715
240	544	1713
241	546	1711
242	548	1708
243	550	1705
244	553	1704
245	555	1702
246	557	1699
247	559	1697
248	561	1694
249	564	1692
250	566	1689
251	568	1687
252	570	1684
253	572	1682
254	574	1679
255	577	1677
256	579	1674
257	581	1671
258	583	1669
259	585	1667
260	587	1664
261	590	1662
262	592	1661
263	595	1659
264	597	1656
265	599	1654
266	602	1653
267	604	1651
268	606	1649
269	609	1646
270	611	1644
271	613	1642
272	615	1639
273	618	1638
274	620	1636
275	622	1634
276	625	1631
277	627	1628
278	629	1626
279	631	1624
280	634	1622
281	636	1620
282	638	1617
283	640	1615
284	643	1613
285	645	1610
286	647	1608
287	649	1606
288	652	1604
289	654	1602
290	656	1599
291	658	1596
292	661	1595
293	663	1593
294	665	1591
295	667	1588
296	670	1586
297	672	1584
298	674	1581
299	676	1579
300	679	1576
301	681	1574
302	683	1572
303	685	1570
304	687	1567
305	690	1564
306	692	1562
307	694	1560
308	697	1558
309	699	1556
310	701	1554
311	703	1552
312	706	1549
313	708	1547
314	710	1545
315	712	1543
316	715	1542
317	718	1541
318	721	1539
319	723	1537
320	725	1534
321	727	1532
322	730	1530
323	732	1528
324	734	1526
325	737	1523
326	739	1521
